"Question","Answer"
"羧酸的基本化学性质？","1. 具有酸的通性（如能和Na₂CO₃或NaHCO₃反应产生CO₂）；2. 能在浓硫酸催化加热下与醇发生酯化（典型的取代）反应。"
"烷烃的结构特点与主要性质？","碳原子之间均以单键结合成链状，碳原子剩余价键全部和氢原子结合。不能使KMnO₄/溴水褪色；特征反应为与卤素单质（如Cl₂）的光照取代。"
"在有机合成中如何构建碳骨架？","增长碳链：如卤代烃与氰化钠反应，醛酮加成、酯缩合等。缩短碳链：如烯/炔/醇的氧化断键，酯的水解，羧酸脱羧等。"
"在有机合成中如何引入官能团？","双键：消去反应；羟基：烯烃水化、水解反应；卤素原子：取代反应或加成反应；醛基：醇的催化氧化。"
"蛋白质的组成及各级结构？","由氨基酸（主要为α-氨基酸）通过脱水缩合形成肽键而构成的天然高分子，含有C、H、O、N、S等元素。有一级至四级空间结构。"
"如何制备Fe(OH)₃胶体？操作要点是什么？","向沸腾的蒸馏水中逐滴加入饱和FeCl₃溶液，继续煮沸至混合液变为红褐色为止。注意：不能持续久煮以免发生聚沉变沉淀。"
"如何检验溶液中是否含有硫酸根离子（SO₄²⁻）？","先加入稀盐酸酸化（排除Ag⁺、CO₃²⁻、SO₃²⁻干扰），再滴加BaCl₂溶液，若产生白色沉淀，则说明含有SO₄²⁻。"
"探究溶液导电性的关键和结论？","关键：溶液中自由移动离子的浓度与离子所带电荷。浓度越高、电荷越多，导电能力越强。用于区分强弱电解质。"
"如何用化学沉淀法去除粗盐中的杂质离子（Ca²⁺、Mg²⁺、SO₄²⁻）？","滴加顺序要求：BaCl₂ -> NaOH -> Na₂CO₃（必须在BaCl₂之后以除去过量Ba²⁺），过滤后，再加适量盐酸（除去过量CO₃²⁻和OH⁻）。"
"焰色试验的核心步骤与观察对象？","用盐酸洗净铂丝（或铁丝），在火焰上灼烧至无色，蘸取试样灼烧并观察火焰颜色。钠（黄）、钾（紫，需透蓝色钴玻璃观察）。"
"喷泉实验的原理是什么？代表气体？","气体极易溶于吸收液中，导致烧瓶内压强急剧减小，外界大气压将液体压入烧瓶形成喷泉。常见例子：NH₃/H₂O，HCl/H₂O。"
"探究过氧化钠（Na₂O₂）与水反应的实验要点？","反应中有气泡（O₂，可使带火星木条复燃）。在反应后溶液中滴入酚酞，溶液先变红后褪色（由于生成了NaOH，且Na₂O₂本身具强氧化漂白性）。"
"实验室制备氨气（NH₃）的反应原理与装置？","原理：2NH₄Cl + Ca(OH)₂ (△)→ CaCl₂ + 2NH₃↑ + 2H₂O。装置：固体混合加热，试管口略向下倾斜。收集：向下排空气法。"
"实验室制备氯气（Cl₂）的反应原理与净化？","原理：MnO₂ + 4HCl(浓) (△)→ MnCl₂ + Cl₂↑ + 2H₂O。净化：先通入饱和食盐水（除HCl），再通入浓硫酸（除H₂O），最后用NaOH吸收尾气。"
"如何检验溶液中的铵根离子（NH₄⁺）？","加入NaOH溶液并加热，将湿润的红色石蕊试纸放在试管口，若试纸变蓝（或用蘸浓盐酸玻璃棒检验产生白烟），则含有NH₄⁺。"
"配制一定物质的量浓度溶液的关键步骤有哪些？","计算、称量、溶解或稀释、冷却、转移引流、洗涤烧杯及玻棒（将洗液全部转移至容量瓶）、定容至刻度线平齐、摇匀盖好。"
"利用球棍模型认识有机分子结构的区别是什么？","球棍模型不仅体现分子中原子种类和连接顺序，还能直观体现各原子间的空间构型、键角。注意与比例模型的区别。"
"实验室中如何成功制备Fe(OH)₂沉淀？","由于Fe(OH)₂极易被空气中O₂氧化，制备时必须使用煮沸后冷却的蒸馏水配制溶液（排氧），并将滴管伸入液面下滴加碱液，或覆盖一层植物油隔绝空气。"
"如何借助反应热测定实验测出中和热？","利用简易量热计，快速混合强酸和强碱，测量最高温度，并保证保温隔热，计算生成的1 mol水时释放的热量（理论值约57.3 kJ/mol）。"
"如何探究Fe³⁺的氧化性和Fe²⁺的还原性？","Fe³⁺遇到KSCN变血红色，加入还原剂（如铁粉或具有还原性维C）后红色褪去证明被还原成了Fe²⁺；Fe²⁺溶液（浅绿色）滴入氯水等氧化剂再加KSCN变红，证明被氧化为Fe³⁺。"
"化学反应速率测定的常用方法是什么？","基于固定时间内某些物质浓度（或压强、颜色、气体体积）的改变来进行测量计算。"
"酸碱中和滴定实验的核心操作和判断滴定终点的方法？","使用精密滴定管；一手控制旋塞，一手摇动锥形瓶，眼睛注视锥形瓶内溶液颜色变化；滴定终点现象为加最后半滴后溶液颜色突变，且半分钟内不恢复原色。"
"实验室如何制取溴苯和硝基苯？","溴苯：苯与液溴在FeBr₃催化下发生取代。硝基苯：苯与浓硝酸在浓硫酸（催化剂、脱水剂）加热50-60℃水浴条件下发生取代。"
"有关盐类水解应用实验的核心结论？","例如配制FeCl₃或SnCl₂溶液时，需加相应的酸抑制其水解；加热蒸干FeCl₃溶液最终得到的是Fe₂O₃粉末而非无水FeCl₃。"
"电解氯化铜（CuCl₂）溶液的现象及阴阳极产物？","阳极区产生有刺激性气味的黄绿色气体（Cl₂，可使湿润淀粉KI试纸变蓝）；阴极析出红色物质（铜单质）。"
"氧化性、还原性强弱的理论比较方法有哪些？","1. 氧化剂 > 氧化产物，还原剂 > 还原产物。2. 与同种物质反应条件越简易，氧化性/还原性越强。3. 若反应原电池，负极还原性大于正极。"
"探究影响化学反应速率的原则：变量控制法的意义？","保持其他条件完全一致的前提下，每次实验只改变一个独立变量（如仅改变某一反应物的浓度），以得出该条件对反应速率的确切影响。"
"简述氧化还原反应方程式的配平步骤。","标变价 -> 列变化 -> 求最小公倍数使升降总数相等 -> 观察并配平其他（通常通过氢、氧原子来平衡H₂O等） -> 最后检查电荷及质量守恒。"
"化学平衡状态的宏观与微观判断依据？","微观：v(正) = v(逆) 且均不为零。宏观：各组分（特指气体）的浓度、质量分数保持不变；或当反应导致体系压强、气体密度、平均相对分子质量改变的任务变量不再改变。"
"粒子（原子及离子）半径大小的比较法则？","层多径大；电子层相同，核电荷数越大，对电子吸引力越强，半径越小；核电荷数相同的离子，电子越多半径越大（如阳离子<其原子<其阴离子）。"
"解答化学速率与平衡的“三段式”计算模板？","依方程分别列出：1. 初始量（浓度/摩尔）；2. 变化量（依系数比例对应）；3. 平衡/瞬时量（初始量减/加变化量）。利用最终数据求K或转化率。"
"判断前20号元素所在分子中原子是否满足8电子（或2电子）结构的方法？","若某元素的原子最外层电子数 + (8 - 该元素主族序数) = 其周边的单键数（即共用电子对数），则该原子达到8电子结构。氢总是达到2电子稳定结构。"
"有机物分子的各类表示方法及其区别？","包括分子式、结构式（详尽标出所有键）、结构简式（合并省略单键）、键线式（拐点和端点表示碳原子，省去氢原子表示）和比例模型（体现体积相对大小）。"
"关于NO、NO₂、O₂混合气体溶于水的计算捷径（如喷泉实验）？","写出总方程式：4NO + 3O₂ + 2H₂O = 4HNO₃；4NO₂ + O₂ + 2H₂O = 4HNO₃；利用混合气体的物质的量之比来计算完全吸收或剩余气体种类。"
"烷烃同分异构体的书写策略？","遵守“主链由长到短、支链由整到散、位置由心到边、排布由对到邻间”的法则，系统地画出碳骨架避免漏写或重复。"
"有关金属与稀硝酸、浓硝酸反应的特殊计算思路（如电子守恒）？","硝酸起氧化剂与成盐剂双重作用。利用产物（NO/NO₂气体的物质的量）逆推转移电子数，直接与金属失去的电子数进行守恒计算来跳过复杂化学式。"
"判断有机物分子中原子共线、共面的基本法则是？","抓基本模板分子构性：甲烷（四面体不能全平面）、乙烯（6原子共面）、乙炔（4原子共线）、苯（12原子全共面）。结合碳碳单键可以自由旋转原理综合分析。"
"硅酸盐一般如何用氧化物的形式表示其组成？","写出化学式的氧化物顺序一般为：活泼金属氧化物 -> 较不活泼金属氧化物 -> SiO₂ -> H₂O。各氧化物之间用“·”分隔。"
"烃的燃烧规律在解题中的应用？","耗氧量：等摩尔燃烧时耗氧取决于(x+y/4)；等质量燃烧时，含氢质量分数越高耗氧越多。产物体积变化与烃中H原子数（以4为临界）的关系。"
"原电池正、负极的判断最准确的方法是什么？","发生氧化反应（失电子，化合价升高）的一极为负极；发生还原反应（得电子，化合价降低）的一极为正极。电子流出的一极总是负极。"
"利用盖斯定律计算反应热的基本原则？","根据目标方程整理已知热化学方程式，进行乘除系数及代数加减运算，对应的ΔH也须作同等倍数的运算和正负号倒转。"
"化学反应速率或平衡图像分析（如 v-t 图，c-t 图）的解题要诀？","“先拐先平”：曲线先达到平衡（拐点先出现）通常意味着对应条件更剧烈（如温度更高、压强更大）；看清纵横坐标物理量；分析斜率变化等。"
"有机合成路线逆向设计的核心思想（逆合成分析法）是什么？","从最终产物分子结构出发，结合目标产物的官能团，将其分割切断为较小中间体，一步步逆推至常见且容易获得的简单原料。"
"条件变化对化学平衡转化率的具体影响？","加入某一反应物，往往会提高另一反应物的转化率，而自身的转化率会降低。改变温度或压强，平衡偏向的正反应方向的转化率升高。"
"怎样通过实验探究蔗糖和麦芽糖的化学性质？","麦芽糖含有醛基，属于还原糖，能发生银镜或新制Cu(OH)₂反应；蔗糖为非还原糖无此反应。但蔗糖在稀酸加热下水解后的产物表现出还原糖特性。"
"有关化学平衡的常用计算参数转换？","转化率（α）= 反应消耗的量 / 初始加入了的量 × 100％。各气态组分物质的量分数等于其体积分数也就正比于它的压强分数。"
