Question,Answer
"水的电离方程式及水的离子积常数（Kw）？","H₂O ⇌ H⁺ + OH⁻。在25℃时，Kw = c(H⁺)·c(OH⁻) = 1.0×10⁻¹⁴。"
"阿伏加德罗定律的内容？","同温、同压下，相同体积的任何气体都含有相同数目的分子。"
"溶液的 pH 值计算公式？","pH = -lg c(H⁺)。室温下，pH<7 呈酸性，pH=7 呈中性，pH>7 呈碱性。"
"物质的量浓度（c）的定义和公式？","单位体积溶液中所含溶质的物质的量。公式 c = n / V，单位 mol/L。"
"盐类水解的本质和规律分别是什么？","本质：盐电离出的弱酸阴离子或弱碱阳离子结合水电离出的H⁺或OH⁻，破坏水的电离平衡。规律：有弱才水解，都弱双水解，谁强显谁性。"
"什么是合金？","由两种或两种以上的金属与非金属（或金属与金属）经过混合、熔化、冷却凝固后形成的具有金属特性的物质。"
"沉淀溶解平衡是指什么？","在一定温度下，难溶电解质晶体溶解成离子的速率等于离子沉淀为晶体的速率，达到多相平衡状态。"
"原子序数与核内粒子的关系是什么？","原子序数 = 核电荷数 = 质子数 = 中性原子核外电子数。"
"原电池的工作原理是什么？","可以将化学能转化为电能的装置。负极失去电子（氧化反应），正极得到电子（还原反应）。电子外电路从负极导向正极。"
"什么是元素？","具有相同核电荷数（即质子数）的一类原子的总称。"
"燃料电池的特点？","反应物（燃料和氧化剂）不储存在电池内部，而是由外设连续供应，能量转换率高且清洁。"
"什么是核素？","具有一定数目的质子和一定数目的中子的一种原子。"
"电解原理是什么？","将直流电能转化为化学能的装置。与电源正极相连的阳极发生氧化反应，与负极相连的阴极发生还原反应。"
"什么是同位素？","质子数相同而中子数不同的同一元素的不同原子的互称（如氢的同位素：氕、氘、氚）。"
"什么是金属的腐蚀？","金属与周围接触到的气体或液体物质发生氧化还原反应而引起损耗的现象。"
"元素性质的周期性变化主要表现在哪些方面？","随着原子序数递增，元素的原子半径、化合价、第一电离能、电负性等呈现周期性的规律变化。"
"化学腐蚀与电化学腐蚀的本质区别是什么？","化学腐蚀是金属与氧化剂直接反应；电化学腐蚀是构成了原电池，发生原电池反应（通常是吸氧腐蚀或析氢腐蚀）。"
"什么是两性氢氧化物？","既能与强酸反应，又能与强碱反应，都生成盐和水的氢氧化物，如 Al(OH)₃。"
"什么是能层？","即电子层，根据电子能量的差异，将核外电子排布在不同的区域，分别对应 K、L、M、N 等。"
"元素周期律的实质是什么？","元素性质的周期性变化是原子核外电子排布呈现周期性变化的必然结果。"
"什么是能级？","能层中进一步按电子能量的微小差异以及电子云形状的不同划分的亚层，如 s、p、d、f 等。"
"什么是离子键？","带相反电荷的阴阳离子之间存在的强烈的静电作用。"
"什么是构造原理？","绝大多数基态原子核外电子排布时，按能级交错的顺序填入电子（1s 2s 2p 3s 3p 4s 3d 4p...）。"
"什么是离子化合物？","由阳离子和阴离子构成的化合物。含有离子键的化合物一定是离子化合物。"
"电子排布式的书写规则？","按照构造原理的能级顺序，将电子数写在能级符号右上角（如Fe：1s²2s²2p⁶3s²3p⁶3d⁶4s²）。"
"什么是电子式？","在元素符号周围用点或叉表示原子或离子的最外层电子的图式。"
"什么是电子云？","表示单个电子在原子核外空间出现概率密度分布的模型图。"
"什么是共价键？","原子之间通过共用电子对所形成的相互作用。"
"什么是原子轨道？","电子云在空间的某一轮廓边界内（通常取概率为90%的包络面），即描述电子在核外空间运动状态的区域空间图式。"
"什么是共价化合物？","只以共价键结合形成的化合物。"
"简述泡利原理、洪特规则、能量最低原理。","泡利：一轨道最多2个自旋相反电子。洪特：同一能级中，电子尽可能分占不同轨道且自旋平行。能量最低：电子尽可能先占据能量较低的轨道。"
"什么是化学键？","相邻原子之间强烈的相互作用，包括离子键、共价键、金属键等。"
"电离能的概念及变化规律？","气态基态原子失去最外层一个电子所需的最小能量。同周期自左往右总体增大（ⅡA、ⅤA有反常），同主族自上而下减小。"
"吸热反应与放热反应判断依据？","断键吸收总能量 > 成键放出总能量为吸热；反应物总能量 > 生成物总能量为放热。"
"电负性的概念及变化规律？","原子在化合物中吸引电子能力的标度。同周期自左向右变大，同主族自上而下变小（F最大为4.0）。"
"化学反应速率的定义？","通常用单位时间内反应物浓度的减少或生成物浓度的增加来衡量。v = Δc / Δt。"
"什么是键能？","气态基态原子形成 1 mol 化学键释放的最低能量。键能越大，化学键越稳定。"
"影响化学反应速率的因素有哪些？","浓度、温度、压强、催化剂、接触表面积等。"
"什么是键长？","形成共价键的两个原子的核间距。键长越短，键通常越强。"
"什么是离子共存问题？判断不能共存的条件？","离子之间不发生化学反应即可大量共存。不能共存条件主要有：生成沉淀、生成气体、生成难电离物质（水、弱酸、弱碱）以及发生氧化还原反应。"
"人类对能源的利用主要包含哪些？","包括化石燃料（煤、石油、天然气）的利用，以及开发新能源（太阳能、风能、核能、氢能等）以解决化石能源枯竭和污染问题。"
"Na₂O₂与H₂O、CO₂反应的特征有哪些？","两者都是歧化反应，2Na₂O₂对应生成1O₂，转移2mol电子。Na₂O₂既作氧化剂又作还原剂。"
"新型无机非金属材料有哪些？","包括富勒烯、碳纳米管、石墨烯、碳化硅（结构陶瓷）、光导纤维（主要成分二氧化硅）以及单晶硅微电子材料等。"
"有机高分子材料主要有哪些？","合成塑料（如聚乙烯、聚氯乙烯）、合成纤维（如涤纶、锦纶）、合成橡胶（如丁苯橡胶）。"
